# KID, Season, Target Table Number
100003557,Q10M3,49
100003558,Q10M3,49
100003559,Q10M3,49
100003564,Q10M1,47
100003565,Q10M1,47
100003568,Q10M2,48
100003569,Q10M2,48
100003572,Q10M3,49
100003573,Q10M3,49
100003602,Q11M1,50
100003603,Q11M2,51
100003604,Q11M3,52
100003611,Q11M1,50
100003612,Q11M2,51
100003613,Q11M3,52
100003899,Q12M1,53
100003899,Q12M2,54
100003899,Q12M3,55
100003899,Q16M1,65
100003899,Q16M2,66
100003899,Q16M3,67
100003900,Q12M1,53
100003900,Q12M2,54
100003900,Q12M3,55
100003910,Q12M1,53
100003910,Q12M2,54
100003910,Q12M3,55
